iter	Passed	Remaining
0	150	45061
1	157	23416
2	163	16207
3	170	12583
4	176	10411
5	182	8957
6	189	7929
7	196	7159
8	202	6553
9	209	6070
10	215	5666
11	221	5324
12	227	5026
13	233	4779
14	240	4566
15	246	4370
16	252	4202
17	258	4051
18	265	3919
19	271	3797
20	277	3688
21	284	3588
22	290	3497
23	296	3410
24	303	3333
25	309	3260
26	315	3192
27	322	3128
28	328	3069
29	334	3011
30	340	2957
31	346	2905
32	354	2867
33	361	2830
34	369	2795
35	375	2756
36	383	2723
37	389	2686
38	395	2648
39	402	2616
40	409	2583
41	415	2551
42	421	2521
43	428	2493
44	434	2464
45	441	2438
46	448	2415
47	456	2394
48	463	2373
49	469	2349
50	476	2327
51	483	2304
52	489	2281
53	496	2259
54	502	2238
55	508	2217
56	515	2199
57	522	2179
58	528	2159
59	536	2144
60	543	2129
61	551	2115
62	557	2098
63	564	2082
64	571	2065
65	577	2048
66	584	2032
67	591	2017
68	597	2000
69	604	1984
70	610	1969
71	617	1954
72	623	1939
73	630	1925
74	637	1911
75	643	1896
76	650	1883
77	656	1868
78	662	1854
79	669	1841
80	676	1827
81	683	1817
82	690	1806
83	697	1794
84	705	1783
85	712	1772
86	718	1759
87	725	1747
88	731	1734
89	738	1722
90	744	1710
91	752	1701
92	759	1689
93	765	1677
94	771	1665
95	778	1654
96	784	1642
97	791	1631
98	797	1619
99	804	1608
100	810	1596
101	817	1587
102	825	1578
103	833	1570
104	840	1560
105	847	1551
106	854	1541
107	861	1531
108	867	1520
109	874	1510
110	880	1499
111	887	1489
112	893	1479
113	900	1469
114	907	1460
115	914	1450
116	921	1440
117	927	1430
118	934	1420
119	940	1411
120	947	1401
121	953	1391
122	960	1381
123	967	1372
124	975	1365
125	982	1356
126	988	1347
127	995	1337
128	1001	1327
129	1008	1319
130	1015	1309
131	1021	1300
132	1028	1291
133	1035	1282
134	1042	1273
135	1048	1264
136	1054	1255
137	1062	1246
138	1068	1237
139	1075	1228
140	1082	1220
141	1088	1211
142	1096	1203
143	1103	1195
144	1111	1188
145	1118	1179
146	1125	1171
147	1132	1162
148	1138	1153
149	1145	1145
150	1151	1136
151	1158	1127
152	1165	1119
153	1171	1110
154	1178	1102
155	1184	1093
156	1192	1085
157	1199	1078
158	1206	1070
159	1213	1061
160	1220	1053
161	1226	1045
162	1233	1036
163	1239	1028
164	1246	1019
165	1252	1011
166	1259	1002
167	1266	994
168	1272	986
169	1279	978
170	1286	970
171	1293	962
172	1299	954
173	1306	945
174	1312	937
175	1319	929
176	1325	921
177	1332	913
178	1340	905
179	1347	898
180	1355	891
181	1361	883
182	1368	875
183	1375	866
184	1381	859
185	1388	851
186	1395	843
187	1401	835
188	1408	827
189	1414	819
190	1421	811
191	1428	803
192	1436	796
193	1443	788
194	1449	780
195	1457	773
196	1464	765
197	1471	757
198	1478	750
199	1485	742
200	1491	734
201	1497	726
202	1504	718
203	1511	711
204	1518	703
205	1525	696
206	1533	688
207	1540	681
208	1547	673
209	1554	666
210	1561	658
211	1568	651
212	1575	643
213	1581	635
214	1588	627
215	1595	620
216	1601	612
217	1608	604
218	1614	597
219	1622	589
220	1629	582
221	1637	575
222	1644	567
223	1652	560
224	1659	553
225	1666	545
226	1673	538
227	1679	530
228	1686	522
229	1692	515
230	1699	507
231	1706	500
232	1712	492
233	1719	484
234	1726	477
235	1733	470
236	1741	462
237	1747	455
238	1754	447
239	1761	440
240	1767	432
241	1774	425
242	1780	417
243	1787	410
244	1794	402
245	1801	395
246	1808	387
247	1814	380
248	1821	373
249	1827	365
250	1834	358
251	1841	350
252	1847	343
253	1854	335
254	1860	328
255	1867	320
256	1875	313
257	1883	306
258	1890	299
259	1897	291
260	1904	284
261	1911	277
262	1917	269
263	1924	262
264	1931	255
265	1937	247
266	1944	240
267	1950	232
268	1956	225
269	1963	218
270	1969	210
271	1975	203
272	1982	196
273	1989	188
274	1996	181
275	2002	174
276	2009	166
277	2015	159
278	2022	152
279	2028	144
280	2036	137
281	2043	130
282	2051	123
283	2058	115
284	2065	108
285	2072	101
286	2078	94
287	2085	86
288	2091	79
289	2098	72
290	2104	65
291	2111	57
292	2118	50
293	2125	43
294	2131	36
295	2138	28
296	2144	21
297	2151	14
298	2158	7
299	2165	0
